date,gate,strike_mode,side,skipped,skip_reason,entry_ts,spot_entry,call_strike,put_strike,target_call_K,chosen_call_K,call_gap,target_put_K,chosen_put_K,put_gap,strike_ok,strikes_available,call_mark,put_mark,call_fill,put_fill,qty,entry_fee,entry_slip_cost,exit_fee,exit_slip_cost,settle_ts,settle_spot,settle_hhmm,call_payoff,put_payoff,settlement_pay,premium_pnl,gross_pnl,net_pnl,sig,sig_decile,threshold,premium_target_pct,target_delta,prev_rvol,overnight,overnight_move_pct,gate_decision
2026-05-14,flat,premium,sell,0,,1778729400,79279.0000,80200,78400,81200,80200,1000,77200,78400,1200,1,1,27.644578,31.532835,26.078891,29.746931,100,0.230561,0.335159,0.000000,0.000000,1778760000,79211.0000,17:30,0.000000,0.000000,0.000000,5.582582,5.582582,5.352022,0.351852,4,0.9000,0.034000,0.1200,0.00026485,0.01468422,1.468422,sell
2026-05-15,flat,premium,sell,0,,1778815800,81161.5000,82200,80000,83200,82200,1000,79200,80000,800,1,1,28.167326,28.701846,26.572032,27.076279,100,0.221568,0.322086,0.000000,0.000000,1778846400,80597.5000,17:30,0.000000,0.000000,0.000000,5.364831,5.364831,5.143264,0.545455,6,0.9000,0.034000,0.1200,0.00034861,0.02454650,2.454650,sell
2026-05-18,flat,premium,sell,0,,1779075000,76869.5000,78200,75600,78800,78200,600,74800,75600,800,1,1,26.713382,31.962708,25.200434,30.152457,100,0.228607,0.332320,0.000000,0.000000,1779105600,77294.5000,17:30,0.000000,0.000000,0.000000,5.535289,5.535289,5.306682,0.410714,5,0.9000,0.034000,0.1200,0.00023369,0.01917765,1.917765,sell
2026-05-19,flat,premium,sell,0,,1779161400,76761.0000,77600,75600,78800,77600,1200,74800,75600,800,1,1,25.753037,26.774359,24.294480,25.257958,100,0.204652,0.297496,0.000000,0.000000,1779192000,76641.5000,17:30,0.000000,0.000000,0.000000,4.955244,4.955244,4.750592,0.342105,4,0.9000,0.034000,0.1200,0.00041579,0.00641370,0.641370,sell
2026-05-20,flat,premium,sell,0,,1779247800,76722.0000,77400,75800,78800,77400,1400,74800,75800,1000,1,1,30.369153,19.556995,28.649155,18.449359,100,0.194517,0.282763,0.000000,0.000000,1779278400,77335.0000,17:30,0.000000,0.000000,0.000000,4.709851,4.709851,4.515335,0.189655,2,0.9000,0.034000,0.1200,0.00037558,0.00058035,0.058035,sell
2026-05-21,flat,premium,sell,0,,1779334200,78000.0000,78600,77200,80000,78600,1400,76000,77200,1200,1,1,30.205330,20.811102,28.494611,19.632437,100,0.198765,0.288938,0.000000,0.000000,1779364800,77195.5000,17:30,0.000000,0.450000,0.450000,4.812705,4.362705,4.163940,0.288136,3,0.9000,0.034000,0.1200,0.00032960,0.00837077,0.837077,sell
2026-05-22,flat,premium,sell,0,,1779420600,77720.5000,78400,77000,79800,78400,1400,75800,77000,1200,1,1,29.836716,19.696555,28.146874,18.581014,100,0.192986,0.280538,0.000000,0.000000,1779451200,77365.5000,17:30,0.000000,0.000000,0.000000,4.672789,4.672789,4.479803,0.391667,4,0.9000,0.034000,0.1200,0.00040892,0.00729676,0.729676,sell
2026-05-25,flat,premium,sell,0,,1779679800,77047.5000,78000,76000,79000,78000,1000,75000,76000,1000,1,1,31.690118,27.252465,29.895306,25.708985,100,0.229646,0.333829,0.000000,0.000000,1779710400,77320.0000,17:30,0.000000,0.000000,0.000000,5.560429,5.560429,5.330783,0.155738,2,0.9000,0.034000,0.1200,0.00032327,0.00313109,0.313109,sell
2026-05-26,flat,premium,sell,0,,1779766200,76534.0000,77400,75600,78600,77400,1200,74600,75600,1000,1,1,29.961070,26.732796,28.264185,25.218749,100,0.220885,0.321093,0.000000,0.000000,1779796800,77154.5000,17:30,0.000000,0.000000,0.000000,5.348293,5.348293,5.127409,0.314516,4,0.9000,0.034000,0.1200,0.00030870,0.01014634,1.014634,sell
2026-05-27,flat,premium,sell,0,,1779852600,75826.5000,76600,75000,77800,76600,1200,73800,75000,1200,1,1,29.119648,23.739491,27.470418,22.394974,100,0.205944,0.299375,0.000000,0.000000,1779883200,75734.0000,17:30,0.000000,0.000000,0.000000,4.986539,4.986539,4.780595,0.492063,5,0.9000,0.034000,0.1200,0.00034694,0.01721859,1.721859,sell
2026-05-28,flat,premium,sell,0,,1779939000,73668.5000,74800,72800,75600,74800,800,71600,72800,1200,1,1,27.650602,58.008407,26.084573,54.723024,100,0.333735,0.485141,0.000000,0.000000,1779969600,73463.0000,17:30,0.000000,0.000000,0.000000,8.080760,8.080760,7.747024,0.546875,6,0.9000,0.034000,0.1200,0.00031829,0.02733730,2.733730,sell
2026-05-29,flat,premium,sell,0,,1780025400,73370.0000,74400,72500,75400,74400,1000,71400,72500,1100,1,1,23.209180,27.820598,21.894698,26.244942,100,0.198817,0.289014,0.000000,0.000000,1780056000,73448.0000,17:30,0.000000,0.000000,0.000000,4.813964,4.813964,4.615147,0.423077,5,0.9000,0.034000,0.1200,0.00054812,0.00159212,0.159212,sell
2026-05-01,switch,premium,sell,0,,1777606200,77204.5000,78400,75800,79200,78400,800,75200,75800,600,1,1,22.377557,23.810001,21.110174,22.461490,100,0.179951,0.261589,0.000000,0.000000,1777636800,77415.5000,17:30,0.000000,0.000000,0.000000,4.357166,4.357166,4.177215,0.433333,5,0.9000,0.034000,0.1200,0.00036804,0.01540778,1.540778,sell
2026-05-04,switch,premium,sell,0,,1777865400,80058.0000,81800,77800,82000,81800,200,78000,77800,200,1,1,45.498120,28.308521,42.921274,26.705230,100,0.287557,0.418014,0.000000,0.000000,1777896000,78710.0000,17:30,0.000000,0.000000,0.000000,6.962650,6.962650,6.675093,0.380435,4,0.9000,0.034000,0.1200,0.00023045,0.01829051,1.829051,sell
2026-05-05,switch,premium,sell,0,,1777951800,80740.0000,82000,79400,82800,82000,800,78800,79400,600,1,1,32.795487,26.174754,30.938071,24.692312,100,0.229753,0.333986,0.000000,0.000000,1777982400,80935.5000,17:30,0.000000,0.000000,0.000000,5.563038,5.563038,5.333285,0.808511,9,0.9000,0.034000,0.1200,0.00058278,0.02521777,2.521777,sell
2026-05-06,switch,premium,sell,0,,1778038200,81554.5000,82600,80400,83600,82600,1000,79600,80400,800,1,1,30.902138,23.849068,29.151955,22.498345,100,0.213316,0.310091,0.000000,0.000000,1778068800,82504.5000,17:30,0.000000,0.000000,0.000000,5.165030,5.165030,4.951714,0.270833,3,0.9000,0.034000,0.1200,0.00036829,0.00717519,0.717519,sell
2026-05-07,switch,premium,sell,0,,1778124600,80899.5000,82000,80000,82800,82000,800,78800,80000,1200,1,1,22.864857,27.238154,21.569876,25.695485,100,0.195206,0.283765,0.000000,0.000000,1778155200,80827.5000,17:30,0.000000,0.000000,0.000000,4.726536,4.726536,4.531330,0.591837,6,0.9000,0.034000,0.1200,0.00044292,0.01922762,1.922762,sell
2026-05-08,switch,premium,sell,0,,1778211000,79566.0000,80800,78400,81600,80800,800,77600,78400,800,1,1,29.094574,26.686094,27.446764,25.174691,100,0.217327,0.315921,0.000000,0.000000,1778241600,80206.0000,17:30,0.000000,0.000000,0.000000,5.262146,5.262146,5.044819,0.450000,5,0.9000,0.034000,0.1200,0.00037443,0.01560731,1.560731,sell
2026-05-11,switch,premium,sell,0,,1778470200,80580.5000,82400,78800,82600,82400,200,78600,78800,200,1,1,26.925305,31.143869,25.400355,29.379995,100,0.226243,0.328882,0.000000,0.000000,1778500800,81180.5000,17:30,0.000000,0.000000,0.000000,5.478035,5.478035,5.251792,0.058824,1,0.9000,0.034000,0.1200,0.00019844,0.00251289,0.251289,sell
2026-05-12,switch,premium,sell,0,,1778556600,81145.0000,82000,80200,83200,82000,1200,79200,80200,1000,1,1,29.965039,21.970975,28.267930,20.726620,100,0.202347,0.294147,0.000000,0.000000,1778587200,80752.5000,17:30,0.000000,0.000000,0.000000,4.899455,4.899455,4.697107,0.076923,1,0.9000,0.034000,0.1200,0.00031806,0.00028952,0.028952,sell
2026-05-13,switch,premium,sell,0,,1778643000,81060.5000,81800,80200,83000,81800,1200,79000,80200,1200,1,1,25.348710,27.906563,23.913052,26.326038,100,0.207487,0.301618,0.000000,0.000000,1778673600,80458.5000,17:30,0.000000,0.000000,0.000000,5.023909,5.023909,4.816422,0.132075,2,0.9000,0.034000,0.1200,0.00029139,0.00393223,0.393223,sell
2026-05-14,switch,premium,sell,0,,1778729400,79279.0000,80200,78400,81200,80200,1000,77200,78400,1200,1,1,27.644578,31.532835,26.078891,29.746931,100,0.230561,0.335159,0.000000,0.000000,1778760000,79211.0000,17:30,0.000000,0.000000,0.000000,5.582582,5.582582,5.352022,0.351852,4,0.9000,0.034000,0.1200,0.00026485,0.01468422,1.468422,sell
2026-05-15,switch,premium,sell,0,,1778815800,81161.5000,82200,80000,83200,82200,1000,79200,80000,800,1,1,28.167326,28.701846,26.572032,27.076279,100,0.221568,0.322086,0.000000,0.000000,1778846400,80597.5000,17:30,0.000000,0.000000,0.000000,5.364831,5.364831,5.143264,0.545455,6,0.9000,0.034000,0.1200,0.00034861,0.02454650,2.454650,sell
2026-05-18,switch,premium,sell,0,,1779075000,76869.5000,78200,75600,78800,78200,600,74800,75600,800,1,1,26.713382,31.962708,25.200434,30.152457,100,0.228607,0.332320,0.000000,0.000000,1779105600,77294.5000,17:30,0.000000,0.000000,0.000000,5.535289,5.535289,5.306682,0.410714,5,0.9000,0.034000,0.1200,0.00023369,0.01917765,1.917765,sell
2026-05-19,switch,premium,sell,0,,1779161400,76761.0000,77600,75600,78800,77600,1200,74800,75600,800,1,1,25.753037,26.774359,24.294480,25.257958,100,0.204652,0.297496,0.000000,0.000000,1779192000,76641.5000,17:30,0.000000,0.000000,0.000000,4.955244,4.955244,4.750592,0.342105,4,0.9000,0.034000,0.1200,0.00041579,0.00641370,0.641370,sell
2026-05-20,switch,premium,sell,0,,1779247800,76722.0000,77400,75800,78800,77400,1400,74800,75800,1000,1,1,30.369153,19.556995,28.649155,18.449359,100,0.194517,0.282763,0.000000,0.000000,1779278400,77335.0000,17:30,0.000000,0.000000,0.000000,4.709851,4.709851,4.515335,0.189655,2,0.9000,0.034000,0.1200,0.00037558,0.00058035,0.058035,sell
2026-05-21,switch,premium,sell,0,,1779334200,78000.0000,78600,77200,80000,78600,1400,76000,77200,1200,1,1,30.205330,20.811102,28.494611,19.632437,100,0.198765,0.288938,0.000000,0.000000,1779364800,77195.5000,17:30,0.000000,0.450000,0.450000,4.812705,4.362705,4.163940,0.288136,3,0.9000,0.034000,0.1200,0.00032960,0.00837077,0.837077,sell
2026-05-22,switch,premium,sell,0,,1779420600,77720.5000,78400,77000,79800,78400,1400,75800,77000,1200,1,1,29.836716,19.696555,28.146874,18.581014,100,0.192986,0.280538,0.000000,0.000000,1779451200,77365.5000,17:30,0.000000,0.000000,0.000000,4.672789,4.672789,4.479803,0.391667,4,0.9000,0.034000,0.1200,0.00040892,0.00729676,0.729676,sell
2026-05-25,switch,premium,sell,0,,1779679800,77047.5000,78000,76000,79000,78000,1000,75000,76000,1000,1,1,31.690118,27.252465,29.895306,25.708985,100,0.229646,0.333829,0.000000,0.000000,1779710400,77320.0000,17:30,0.000000,0.000000,0.000000,5.560429,5.560429,5.330783,0.155738,2,0.9000,0.034000,0.1200,0.00032327,0.00313109,0.313109,sell
2026-05-26,switch,premium,sell,0,,1779766200,76534.0000,77400,75600,78600,77400,1200,74600,75600,1000,1,1,29.961070,26.732796,28.264185,25.218749,100,0.220885,0.321093,0.000000,0.000000,1779796800,77154.5000,17:30,0.000000,0.000000,0.000000,5.348293,5.348293,5.127409,0.314516,4,0.9000,0.034000,0.1200,0.00030870,0.01014634,1.014634,sell
2026-05-27,switch,premium,sell,0,,1779852600,75826.5000,76600,75000,77800,76600,1200,73800,75000,1200,1,1,29.119648,23.739491,27.470418,22.394974,100,0.205944,0.299375,0.000000,0.000000,1779883200,75734.0000,17:30,0.000000,0.000000,0.000000,4.986539,4.986539,4.780595,0.492063,5,0.9000,0.034000,0.1200,0.00034694,0.01721859,1.721859,sell
2026-05-28,switch,premium,sell,0,,1779939000,73668.5000,74800,72800,75600,74800,800,71600,72800,1200,1,1,27.650602,58.008407,26.084573,54.723024,100,0.333735,0.485141,0.000000,0.000000,1779969600,73463.0000,17:30,0.000000,0.000000,0.000000,8.080760,8.080760,7.747024,0.546875,6,0.9000,0.034000,0.1200,0.00031829,0.02733730,2.733730,sell
2026-05-29,switch,premium,sell,0,,1780025400,73370.0000,74400,72500,75400,74400,1000,71400,72500,1100,1,1,23.209180,27.820598,21.894698,26.244942,100,0.198817,0.289014,0.000000,0.000000,1780056000,73448.0000,17:30,0.000000,0.000000,0.000000,4.813964,4.813964,4.615147,0.423077,5,0.9000,0.034000,0.1200,0.00054812,0.00159212,0.159212,sell
2026-05-01,none,delta,sell,0,,1777606200,77204.5000,78000,76200,79200,78000,1200,75200,76200,1000,1,1,48.775114,41.465732,46.012670,39.117265,100,0.351587,0.511091,0.000000,0.000000,1777636800,77415.5000,17:30,0.000000,0.000000,0.000000,8.512994,8.512994,8.161407,0.433333,5,0.9000,0.034000,0.1200,0.00036804,0.01540778,1.540778,sell
2026-05-04,none,delta,sell,0,,1777865400,80058.0000,81400,78800,82000,81400,600,78000,78800,800,1,1,76.212348,59.996783,71.895960,56.598785,100,0.530683,0.771439,0.000000,0.000000,1777896000,78710.0000,17:30,0.000000,9.000000,9.000000,12.849475,3.849475,3.318791,0.380435,4,0.9000,0.034000,0.1200,0.00023045,0.01829051,1.829051,sell
2026-05-05,none,delta,sell,0,,1777951800,80740.0000,81800,79800,82800,81800,1000,78800,79800,1000,1,1,47.279825,51.243809,44.602069,48.341547,100,0.383857,0.558002,0.000000,0.000000,1777982400,80935.5000,17:30,0.000000,0.000000,0.000000,9.294362,9.294362,8.910504,0.808511,9,0.9000,0.034000,0.1200,0.00058278,0.02521777,2.521777,sell
2026-05-06,none,delta,sell,0,,1778038200,81554.5000,82400,80600,83600,82400,1200,79600,80600,1000,1,1,48.670980,35.957544,45.914435,33.921041,100,0.329721,0.479305,0.000000,0.000000,1778068800,82504.5000,17:30,10.450000,0.000000,10.450000,7.983548,-2.466452,-2.796173,0.270833,3,0.9000,0.034000,0.1200,0.00036829,0.00717519,0.717519,sell
2026-05-07,none,delta,sell,0,,1778124600,80899.5000,81800,80200,82800,81800,1000,78800,80200,1400,1,1,34.423129,43.462961,32.473530,41.001379,100,0.303451,0.441118,0.000000,0.000000,1778155200,80827.5000,17:30,0.000000,0.000000,0.000000,7.347491,7.347491,7.044039,0.591837,6,0.9000,0.034000,0.1200,0.00044292,0.01922762,1.922762,sell
2026-05-08,none,delta,sell,0,,1778211000,79566.0000,80500,78600,81600,80500,1100,77600,78600,1000,1,1,42.580360,35.931646,40.168765,33.896609,100,0.305890,0.444663,0.000000,0.000000,1778241600,80206.0000,17:30,0.000000,0.000000,0.000000,7.406537,7.406537,7.100647,0.450000,5,0.9000,0.034000,0.1200,0.00037443,0.01560731,1.560731,sell
2026-05-11,none,delta,sell,0,,1778470200,80580.5000,81800,79400,82600,81800,800,78600,79400,800,1,1,52.070183,50.182743,49.121119,47.340577,100,0.398387,0.579123,0.000000,0.000000,1778500800,81180.5000,17:30,0.000000,0.000000,0.000000,9.646170,9.646170,9.247783,0.058824,1,0.9000,0.034000,0.1200,0.00019844,0.00251289,0.251289,sell
2026-05-12,none,delta,sell,0,,1778556600,81145.0000,82000,80400,83200,82000,1200,79200,80400,1200,1,1,29.965039,34.377440,28.267930,32.430428,100,0.250684,0.364412,0.000000,0.000000,1778587200,80752.5000,17:30,0.000000,0.000000,0.000000,6.069836,6.069836,5.819152,0.076923,1,0.9000,0.034000,0.1200,0.00031806,0.00028952,0.028952,sell
2026-05-13,none,delta,sell,0,,1778643000,81060.5000,81800,80400,83000,81800,1200,79000,80400,1400,1,1,25.348710,43.302510,23.913052,40.850015,100,0.267471,0.388815,0.000000,0.000000,1778673600,80458.5000,17:30,0.000000,0.000000,0.000000,6.476307,6.476307,6.208835,0.132075,2,0.9000,0.034000,0.1200,0.00029139,0.00393223,0.393223,sell
2026-05-14,none,delta,sell,0,,1778729400,79279.0000,80000,78400,81200,80000,1200,77200,78400,1200,1,1,44.263694,31.532835,41.756761,29.746931,100,0.295310,0.429284,0.000000,0.000000,1778760000,79211.0000,17:30,0.000000,0.000000,0.000000,7.150369,7.150369,6.855059,0.351852,4,0.9000,0.034000,0.1200,0.00026485,0.01468422,1.468422,sell
2026-05-15,none,delta,sell,0,,1778815800,81161.5000,82000,80200,83200,82000,1200,79200,80200,1000,1,1,42.926070,41.531326,40.494895,39.179144,100,0.329054,0.478336,0.000000,0.000000,1778846400,80597.5000,17:30,0.000000,0.000000,0.000000,7.967404,7.967404,7.638350,0.545455,6,0.9000,0.034000,0.1200,0.00034861,0.02454650,2.454650,sell
2026-05-18,none,delta,sell,0,,1779075000,76869.5000,77800,75800,78800,77800,1000,74800,75800,1000,1,1,60.632077,48.723752,57.198099,45.964218,100,0.426060,0.619351,0.000000,0.000000,1779105600,77294.5000,17:30,0.000000,0.000000,0.000000,10.316232,10.316232,9.890171,0.410714,5,0.9000,0.034000,0.1200,0.00023369,0.01917765,1.917765,sell
2026-05-19,none,delta,sell,0,,1779161400,76761.0000,77400,75800,78800,77400,1400,74800,75800,1000,1,1,47.316108,38.732770,44.636297,36.539088,100,0.335254,0.487349,0.000000,0.000000,1779192000,76641.5000,17:30,0.000000,0.000000,0.000000,8.117539,8.117539,7.782284,0.342105,4,0.9000,0.034000,0.1200,0.00041579,0.00641370,0.641370,sell
2026-05-20,none,delta,sell,0,,1779247800,76722.0000,77400,76000,78800,77400,1400,74800,76000,1200,1,1,30.369153,34.300183,28.649155,32.357547,100,0.251958,0.366263,0.000000,0.000000,1779278400,77335.0000,17:30,0.000000,0.000000,0.000000,6.100670,6.100670,5.848713,0.189655,2,0.9000,0.034000,0.1200,0.00037558,0.00058035,0.058035,sell
2026-05-21,none,delta,sell,0,,1779334200,78000.0000,78600,77400,80000,78600,1400,76000,77400,1400,1,1,30.205330,36.496877,28.494611,34.429828,100,0.259878,0.377777,0.000000,0.000000,1779364800,77195.5000,17:30,0.000000,20.450000,20.450000,6.292444,-14.157556,-14.417434,0.288136,3,0.9000,0.034000,0.1200,0.00032960,0.00837077,0.837077,sell
2026-05-22,none,delta,sell,0,,1779420600,77720.5000,78400,77200,79800,78400,1400,75800,77200,1400,1,1,29.836716,39.941987,28.146874,37.679819,100,0.271864,0.395201,0.000000,0.000000,1779451200,77365.5000,17:30,0.000000,0.000000,0.000000,6.582669,6.582669,6.310805,0.391667,4,0.9000,0.034000,0.1200,0.00040892,0.00729676,0.729676,sell
2026-05-25,none,delta,sell,0,,1779679800,77047.5000,78000,76200,79000,78000,1000,75000,76200,1200,1,1,31.690118,41.007053,29.895306,38.684564,100,0.283235,0.411730,0.000000,0.000000,1779710400,77320.0000,17:30,0.000000,0.000000,0.000000,6.857987,6.857987,6.574752,0.155738,2,0.9000,0.034000,0.1200,0.00032327,0.00313109,0.313109,sell
2026-05-26,none,delta,sell,0,,1779766200,76534.0000,77400,75800,78600,77400,1200,74600,75800,1200,1,1,29.961070,39.342919,28.264185,37.114680,100,0.270015,0.392512,0.000000,0.000000,1779796800,77154.5000,17:30,0.000000,0.000000,0.000000,6.537887,6.537887,6.267872,0.314516,4,0.9000,0.034000,0.1200,0.00030870,0.01014634,1.014634,sell
2026-05-27,none,delta,sell,0,,1779852600,75826.5000,76600,75200,77800,76600,1200,73800,75200,1400,1,1,29.119648,38.261742,27.470418,36.094738,100,0.262524,0.381623,0.000000,0.000000,1779883200,75734.0000,17:30,0.000000,0.000000,0.000000,6.356516,6.356516,6.093992,0.492063,5,0.9000,0.034000,0.1200,0.00034694,0.01721859,1.721859,sell
2026-05-28,none,delta,sell,0,,1779939000,73668.5000,74600,72800,75600,74600,1000,71600,72800,1200,1,1,41.067585,58.008407,38.741668,54.723024,100,0.386009,0.561130,0.000000,0.000000,1779969600,73463.0000,17:30,0.000000,0.000000,0.000000,9.346469,9.346469,8.960460,0.546875,6,0.9000,0.034000,0.1200,0.00031829,0.02733730,2.733730,sell
2026-05-29,none,delta,sell,0,,1780025400,73370.0000,74200,72600,75400,74200,1200,71400,72600,1200,1,1,33.642397,35.245125,31.737015,33.248970,100,0.268392,0.390154,0.000000,0.000000,1780056000,73448.0000,17:30,0.000000,0.000000,0.000000,6.498599,6.498599,6.230206,0.423077,5,0.9000,0.034000,0.1200,0.00054812,0.00159212,0.159212,sell
2026-05-01,flat,delta,sell,0,,1777606200,77204.5000,78000,76200,79200,78000,1200,75200,76200,1000,1,1,48.775114,41.465732,46.012670,39.117265,100,0.351587,0.511091,0.000000,0.000000,1777636800,77415.5000,17:30,0.000000,0.000000,0.000000,8.512994,8.512994,8.161407,0.433333,5,0.9000,0.034000,0.1200,0.00036804,0.01540778,1.540778,sell
2026-05-04,flat,delta,sell,0,,1777865400,80058.0000,81400,78800,82000,81400,600,78000,78800,800,1,1,76.212348,59.996783,71.895960,56.598785,100,0.530683,0.771439,0.000000,0.000000,1777896000,78710.0000,17:30,0.000000,9.000000,9.000000,12.849475,3.849475,3.318791,0.380435,4,0.9000,0.034000,0.1200,0.00023045,0.01829051,1.829051,sell
2026-05-05,flat,delta,sell,0,,1777951800,80740.0000,81800,79800,82800,81800,1000,78800,79800,1000,1,1,47.279825,51.243809,44.602069,48.341547,100,0.383857,0.558002,0.000000,0.000000,1777982400,80935.5000,17:30,0.000000,0.000000,0.000000,9.294362,9.294362,8.910504,0.808511,9,0.9000,0.034000,0.1200,0.00058278,0.02521777,2.521777,sell
2026-05-06,flat,delta,sell,0,,1778038200,81554.5000,82400,80600,83600,82400,1200,79600,80600,1000,1,1,48.670980,35.957544,45.914435,33.921041,100,0.329721,0.479305,0.000000,0.000000,1778068800,82504.5000,17:30,10.450000,0.000000,10.450000,7.983548,-2.466452,-2.796173,0.270833,3,0.9000,0.034000,0.1200,0.00036829,0.00717519,0.717519,sell
2026-05-07,flat,delta,sell,0,,1778124600,80899.5000,81800,80200,82800,81800,1000,78800,80200,1400,1,1,34.423129,43.462961,32.473530,41.001379,100,0.303451,0.441118,0.000000,0.000000,1778155200,80827.5000,17:30,0.000000,0.000000,0.000000,7.347491,7.347491,7.044039,0.591837,6,0.9000,0.034000,0.1200,0.00044292,0.01922762,1.922762,sell
2026-05-08,flat,delta,sell,0,,1778211000,79566.0000,80500,78600,81600,80500,1100,77600,78600,1000,1,1,42.580360,35.931646,40.168765,33.896609,100,0.305890,0.444663,0.000000,0.000000,1778241600,80206.0000,17:30,0.000000,0.000000,0.000000,7.406537,7.406537,7.100647,0.450000,5,0.9000,0.034000,0.1200,0.00037443,0.01560731,1.560731,sell
2026-05-11,flat,delta,sell,0,,1778470200,80580.5000,81800,79400,82600,81800,800,78600,79400,800,1,1,52.070183,50.182743,49.121119,47.340577,100,0.398387,0.579123,0.000000,0.000000,1778500800,81180.5000,17:30,0.000000,0.000000,0.000000,9.646170,9.646170,9.247783,0.058824,1,0.9000,0.034000,0.1200,0.00019844,0.00251289,0.251289,sell
2026-05-12,flat,delta,sell,0,,1778556600,81145.0000,82000,80400,83200,82000,1200,79200,80400,1200,1,1,29.965039,34.377440,28.267930,32.430428,100,0.250684,0.364412,0.000000,0.000000,1778587200,80752.5000,17:30,0.000000,0.000000,0.000000,6.069836,6.069836,5.819152,0.076923,1,0.9000,0.034000,0.1200,0.00031806,0.00028952,0.028952,sell
2026-05-13,flat,delta,sell,0,,1778643000,81060.5000,81800,80400,83000,81800,1200,79000,80400,1400,1,1,25.348710,43.302510,23.913052,40.850015,100,0.267471,0.388815,0.000000,0.000000,1778673600,80458.5000,17:30,0.000000,0.000000,0.000000,6.476307,6.476307,6.208835,0.132075,2,0.9000,0.034000,0.1200,0.00029139,0.00393223,0.393223,sell
2026-05-14,flat,delta,sell,0,,1778729400,79279.0000,80000,78400,81200,80000,1200,77200,78400,1200,1,1,44.263694,31.532835,41.756761,29.746931,100,0.295310,0.429284,0.000000,0.000000,1778760000,79211.0000,17:30,0.000000,0.000000,0.000000,7.150369,7.150369,6.855059,0.351852,4,0.9000,0.034000,0.1200,0.00026485,0.01468422,1.468422,sell
2026-05-15,flat,delta,sell,0,,1778815800,81161.5000,82000,80200,83200,82000,1200,79200,80200,1000,1,1,42.926070,41.531326,40.494895,39.179144,100,0.329054,0.478336,0.000000,0.000000,1778846400,80597.5000,17:30,0.000000,0.000000,0.000000,7.967404,7.967404,7.638350,0.545455,6,0.9000,0.034000,0.1200,0.00034861,0.02454650,2.454650,sell
2026-05-18,flat,delta,sell,0,,1779075000,76869.5000,77800,75800,78800,77800,1000,74800,75800,1000,1,1,60.632077,48.723752,57.198099,45.964218,100,0.426060,0.619351,0.000000,0.000000,1779105600,77294.5000,17:30,0.000000,0.000000,0.000000,10.316232,10.316232,9.890171,0.410714,5,0.9000,0.034000,0.1200,0.00023369,0.01917765,1.917765,sell
2026-05-19,flat,delta,sell,0,,1779161400,76761.0000,77400,75800,78800,77400,1400,74800,75800,1000,1,1,47.316108,38.732770,44.636297,36.539088,100,0.335254,0.487349,0.000000,0.000000,1779192000,76641.5000,17:30,0.000000,0.000000,0.000000,8.117539,8.117539,7.782284,0.342105,4,0.9000,0.034000,0.1200,0.00041579,0.00641370,0.641370,sell
2026-05-20,flat,delta,sell,0,,1779247800,76722.0000,77400,76000,78800,77400,1400,74800,76000,1200,1,1,30.369153,34.300183,28.649155,32.357547,100,0.251958,0.366263,0.000000,0.000000,1779278400,77335.0000,17:30,0.000000,0.000000,0.000000,6.100670,6.100670,5.848713,0.189655,2,0.9000,0.034000,0.1200,0.00037558,0.00058035,0.058035,sell
2026-05-21,flat,delta,sell,0,,1779334200,78000.0000,78600,77400,80000,78600,1400,76000,77400,1400,1,1,30.205330,36.496877,28.494611,34.429828,100,0.259878,0.377777,0.000000,0.000000,1779364800,77195.5000,17:30,0.000000,20.450000,20.450000,6.292444,-14.157556,-14.417434,0.288136,3,0.9000,0.034000,0.1200,0.00032960,0.00837077,0.837077,sell
2026-05-22,flat,delta,sell,0,,1779420600,77720.5000,78400,77200,79800,78400,1400,75800,77200,1400,1,1,29.836716,39.941987,28.146874,37.679819,100,0.271864,0.395201,0.000000,0.000000,1779451200,77365.5000,17:30,0.000000,0.000000,0.000000,6.582669,6.582669,6.310805,0.391667,4,0.9000,0.034000,0.1200,0.00040892,0.00729676,0.729676,sell
2026-05-25,flat,delta,sell,0,,1779679800,77047.5000,78000,76200,79000,78000,1000,75000,76200,1200,1,1,31.690118,41.007053,29.895306,38.684564,100,0.283235,0.411730,0.000000,0.000000,1779710400,77320.0000,17:30,0.000000,0.000000,0.000000,6.857987,6.857987,6.574752,0.155738,2,0.9000,0.034000,0.1200,0.00032327,0.00313109,0.313109,sell
2026-05-26,flat,delta,sell,0,,1779766200,76534.0000,77400,75800,78600,77400,1200,74600,75800,1200,1,1,29.961070,39.342919,28.264185,37.114680,100,0.270015,0.392512,0.000000,0.000000,1779796800,77154.5000,17:30,0.000000,0.000000,0.000000,6.537887,6.537887,6.267872,0.314516,4,0.9000,0.034000,0.1200,0.00030870,0.01014634,1.014634,sell
2026-05-27,flat,delta,sell,0,,1779852600,75826.5000,76600,75200,77800,76600,1200,73800,75200,1400,1,1,29.119648,38.261742,27.470418,36.094738,100,0.262524,0.381623,0.000000,0.000000,1779883200,75734.0000,17:30,0.000000,0.000000,0.000000,6.356516,6.356516,6.093992,0.492063,5,0.9000,0.034000,0.1200,0.00034694,0.01721859,1.721859,sell
